,Open,High,Low,Close,5. volume
2005-03-29,385.6712,385.6712,370.4542,372.0812,18012247.0
2005-03-30,372.7926,375.843,365.5064,368.0484,23552663.0
2005-03-31,369.404,374.9958,368.6582,370.0476,15418559.0
2005-04-01,369.404,384.3158,369.404,382.553,16413530.0
2005-04-04,382.9602,385.4,378.7578,382.7566,8863402.0
2005-04-05,382.2822,385.5356,374.9958,376.6224,13368241.0
2005-04-06,377.029,388.0098,377.029,386.8912,21138911.0
2005-04-07,387.0268,391.0936,381.9434,383.265,12482516.0
2005-04-08,380.9266,384.2478,374.8942,377.6392,13299344.0
2005-04-11,377.6392,377.6392,370.1494,370.8952,7662539.0
2005-04-12,371.4372,374.1486,369.404,371.8102,12315243.0
2005-04-13,372.7926,374.7584,368.1158,369.7088,7922526.0
2005-04-15,369.404,369.404,356.5254,359.0334,14561141.0
2005-04-18,357.1694,357.1694,349.7474,351.3066,13388714.0
2005-04-19,352.7974,359.237,347.1042,348.4598,12575319.0
2005-04-20,349.0694,360.5246,349.0694,359.3722,13709159.0
2005-04-21,359.237,370.0476,355.9156,367.6418,17717824.0
2005-04-22,371.268,371.9794,363.9812,370.4882,17295798.0
2005-04-25,366.6928,372.1152,365.7778,370.4542,11687527.0
2005-04-26,369.404,373.098,366.9298,370.8952,11391399.0
2005-04-27,374.7584,379.2996,361.6428,365.4046,45320245.0
2005-04-28,364.4558,368.9974,361.4736,367.811,23360330.0
2005-04-29,368.0484,368.726,355.9156,357.6778,14584925.0
2005-05-02,357.2034,362.7614,355.4072,361.9142,9962507.0
2005-05-03,361.948,368.1836,360.5926,366.4892,14733276.0
2005-05-04,366.0148,369.3362,365.4046,366.6928,9483786.0
2005-05-05,369.4718,370.7596,364.8288,366.4554,7852433.0
2005-05-06,366.0148,373.064,366.0148,371.9794,16623170.0
2005-05-09,370.7596,376.114,370.2512,375.1312,11486415.0
2005-05-10,375.165,377.6732,368.0484,368.5902,9183160.0
2005-05-11,368.0484,370.9288,366.1166,367.6418,11900922.0
2005-05-12,351.781,366.9976,351.781,365.3368,19931482.0
2005-05-13,365.6082,365.6082,362.016,363.4394,6862227.0
2005-05-16,363.4394,368.3872,363.4394,366.1504,9822063.0
