,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,TCS.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2021-06-24,,"{'1. open': '3282.0000', '2. high': '3382.0000', '3. low': '3272.6001', '4. close': '3373.6001', '5. volume': '214740'}"
2021-06-23,,"{'1. open': '3325.0000', '2. high': '3325.0000', '3. low': '3256.6001', '4. close': '3262.1001', '5. volume': '506938'}"
2021-06-22,,"{'1. open': '3319.0000', '2. high': '3327.0000', '3. low': '3287.4500', '4. close': '3300.6499', '5. volume': '47420'}"
2021-06-21,,"{'1. open': '3278.0000', '2. high': '3285.9500', '3. low': '3253.0000', '4. close': '3272.4500', '5. volume': '1452171'}"
2021-06-18,,"{'1. open': '3350.0000', '2. high': '3357.8501', '3. low': '3275.0000', '4. close': '3297.0000', '5. volume': '132596'}"
2021-06-17,,"{'1. open': '3260.0000', '2. high': '3335.0500', '3. low': '3260.0000', '4. close': '3320.1001', '5. volume': '106664'}"
2021-06-16,,"{'1. open': '3265.0000', '2. high': '3294.3000', '3. low': '3253.1499', '4. close': '3276.3501', '5. volume': '166257'}"
2021-06-15,,"{'1. open': '3300.0000', '2. high': '3300.0000', '3. low': '3251.5500', '4. close': '3262.4500', '5. volume': '567462'}"
2021-06-14,,"{'1. open': '3290.0000', '2. high': '3307.6001', '3. low': '3270.0500', '4. close': '3276.3501', '5. volume': '61546'}"
2021-06-11,,"{'1. open': '3215.0000', '2. high': '3309.0000', '3. low': '3213.0000', '4. close': '3271.7000', '5. volume': '110175'}"
2021-06-10,,"{'1. open': '3210.0000', '2. high': '3225.0000', '3. low': '3192.6001', '4. close': '3216.0500', '5. volume': '40366'}"
2021-06-09,,"{'1. open': '3202.0000', '2. high': '3220.8000', '3. low': '3187.8000', '4. close': '3199.5000', '5. volume': '88982'}"
2021-06-08,,"{'1. open': '3200.0000', '2. high': '3231.5500', '3. low': '3190.2000', '4. close': '3200.5000', '5. volume': '65874'}"
2021-06-07,,"{'1. open': '3155.0000', '2. high': '3189.9500', '3. low': '3134.0000', '4. close': '3181.8000', '5. volume': '38418'}"
2021-06-04,,"{'1. open': '3130.0000', '2. high': '3156.9500', '3. low': '3125.1001', '4. close': '3143.1499', '5. volume': '60938'}"
2021-06-03,,"{'1. open': '3150.0000', '2. high': '3154.9500', '3. low': '3122.3999', '4. close': '3141.4500', '5. volume': '42074'}"
2021-06-02,,"{'1. open': '3154.0000', '2. high': '3155.7000', '3. low': '3116.1499', '4. close': '3129.3000', '5. volume': '69364'}"
2021-06-01,,"{'1. open': '3170.0000', '2. high': '3170.0000', '3. low': '3132.0000', '4. close': '3153.3999', '5. volume': '39525'}"
2021-05-31,,"{'1. open': '3150.0000', '2. high': '3170.0000', '3. low': '3129.0000', '4. close': '3158.9500', '5. volume': '81654'}"
2021-05-28,,"{'1. open': '3190.0000', '2. high': '3197.6499', '3. low': '3137.0000', '4. close': '3144.1001', '5. volume': '90237'}"
2021-05-27,,"{'1. open': '3165.3999', '2. high': '3218.0000', '3. low': '3162.9500', '4. close': '3180.2000', '5. volume': '89498'}"
2021-05-26,,"{'1. open': '3123.0000', '2. high': '3165.0000', '3. low': '3104.7500', '4. close': '3158.2000', '5. volume': '63167'}"
2021-05-25,,"{'1. open': '3094.0000', '2. high': '3127.0000', '3. low': '3082.8501', '4. close': '3113.9500', '5. volume': '89880'}"
2021-05-24,,"{'1. open': '3080.5500', '2. high': '3105.0000', '3. low': '3075.0000', '4. close': '3081.8501', '5. volume': '34002'}"
2021-05-21,,"{'1. open': '3065.0000', '2. high': '3087.8999', '3. low': '3055.3501', '4. close': '3080.3999', '5. volume': '25700'}"
2021-05-20,,"{'1. open': '3074.0000', '2. high': '3087.5500', '3. low': '3053.0000', '4. close': '3060.0000', '5. volume': '44081'}"
2021-05-19,,"{'1. open': '3080.0000', '2. high': '3118.0000', '3. low': '3066.0500', '4. close': '3081.9500', '5. volume': '63943'}"
2021-05-18,,"{'1. open': '3095.0000', '2. high': '3123.0000', '3. low': '3078.7000', '4. close': '3089.3501', '5. volume': '71234'}"
2021-05-17,,"{'1. open': '3060.0000', '2. high': '3077.0000', '3. low': '3035.6499', '4. close': '3069.8000', '5. volume': '101499'}"
2021-05-14,,"{'1. open': '3100.0000', '2. high': '3100.0000', '3. low': '3040.5500', '4. close': '3050.7500', '5. volume': '78135'}"
2021-05-12,,"{'1. open': '3139.0000', '2. high': '3139.0000', '3. low': '3070.5000', '4. close': '3088.5000', '5. volume': '65098'}"
2021-05-11,,"{'1. open': '3130.0000', '2. high': '3130.0000', '3. low': '3092.2000', '4. close': '3123.2000', '5. volume': '42943'}"
2021-05-10,,"{'1. open': '3140.0000', '2. high': '3164.0000', '3. low': '3126.0000', '4. close': '3145.1499', '5. volume': '36150'}"
2021-05-07,,"{'1. open': '3130.0000', '2. high': '3160.0000', '3. low': '3112.1499', '4. close': '3132.0000', '5. volume': '90326'}"
2021-05-06,,"{'1. open': '3108.0000', '2. high': '3134.2500', '3. low': '3074.0000', '4. close': '3111.3000', '5. volume': '197177'}"
2021-05-05,,"{'1. open': '3077.8000', '2. high': '3100.0000', '3. low': '3053.7000', '4. close': '3096.3501', '5. volume': '40810'}"
2021-05-04,,"{'1. open': '3060.0000', '2. high': '3090.0000', '3. low': '3035.2000', '4. close': '3048.9500', '5. volume': '71115'}"
2021-05-03,,"{'1. open': '3034.7000', '2. high': '3057.0000', '3. low': '3004.8000', '4. close': '3037.0000', '5. volume': '110455'}"
2021-04-30,,"{'1. open': '3111.0000', '2. high': '3132.7000', '3. low': '3021.0000', '4. close': '3038.3999', '5. volume': '69616'}"
2021-04-29,,"{'1. open': '3142.0000', '2. high': '3156.3000', '3. low': '3105.3999', '4. close': '3113.2000', '5. volume': '62825'}"
2021-04-28,,"{'1. open': '3143.0000', '2. high': '3150.5000', '3. low': '3112.0000', '4. close': '3123.8000', '5. volume': '39238'}"
2021-04-27,,"{'1. open': '3103.0000', '2. high': '3135.1001', '3. low': '3103.0000', '4. close': '3131.6001', '5. volume': '43362'}"
2021-04-26,,"{'1. open': '3109.8000', '2. high': '3151.9500', '3. low': '3088.1001', '4. close': '3101.1001', '5. volume': '96633'}"
2021-04-23,,"{'1. open': '3105.0000', '2. high': '3119.7500', '3. low': '3092.0000', '4. close': '3109.8000', '5. volume': '67236'}"
2021-04-22,,"{'1. open': '3146.1499', '2. high': '3149.7000', '3. low': '3105.5000', '4. close': '3119.1001', '5. volume': '199595'}"
2021-04-20,,"{'1. open': '3215.0000', '2. high': '3220.0000', '3. low': '3127.0000', '4. close': '3144.1001', '5. volume': '108317'}"
2021-04-19,,"{'1. open': '3193.3000', '2. high': '3193.3000', '3. low': '3135.2000', '4. close': '3163.1001', '5. volume': '56293'}"
2021-04-16,,"{'1. open': '3228.9500', '2. high': '3246.2500', '3. low': '3182.0000', '4. close': '3193.3000', '5. volume': '106603'}"
2021-04-15,,"{'1. open': '3145.0000', '2. high': '3240.5500', '3. low': '3086.2000', '4. close': '3218.9500', '5. volume': '673685'}"
2021-04-13,,"{'1. open': '3230.0000', '2. high': '3230.0000', '3. low': '3074.5500', '4. close': '3105.0000', '5. volume': '247729'}"
2021-04-12,,"{'1. open': '3330.0000', '2. high': '3343.8999', '3. low': '3217.7500', '4. close': '3241.4500', '5. volume': '149202'}"
2021-04-09,,"{'1. open': '3350.0000', '2. high': '3358.8000', '3. low': '3308.7500', '4. close': '3322.2000', '5. volume': '98999'}"
2021-04-08,,"{'1. open': '3267.3501', '2. high': '3334.8501', '3. low': '3267.3501', '4. close': '3316.5000', '5. volume': '73583'}"
2021-04-07,,"{'1. open': '3262.0000', '2. high': '3277.9500', '3. low': '3235.1001', '4. close': '3270.7500', '5. volume': '68444'}"
2021-04-06,,"{'1. open': '3278.0000', '2. high': '3278.0000', '3. low': '3229.8999', '4. close': '3263.8501', '5. volume': '105514'}"
2021-04-05,,"{'1. open': '3171.0000', '2. high': '3262.5500', '3. low': '3151.2500', '4. close': '3239.3000', '5. volume': '1005721'}"
2021-04-01,,"{'1. open': '3190.0000', '2. high': '3215.7000', '3. low': '3146.0000', '4. close': '3165.8999', '5. volume': '105274'}"
2021-03-31,,"{'1. open': '3155.0000', '2. high': '3205.0000', '3. low': '3131.6499', '4. close': '3177.6001', '5. volume': '192113'}"
2021-03-30,,"{'1. open': '3080.0000', '2. high': '3188.0000', '3. low': '3059.8501', '4. close': '3159.9500', '5. volume': '216943'}"
2021-03-26,,"{'1. open': '3083.0000', '2. high': '3118.0000', '3. low': '3044.0000', '4. close': '3068.1499', '5. volume': '112808'}"
2021-03-25,,"{'1. open': '3120.9500', '2. high': '3129.7000', '3. low': '3051.0000', '4. close': '3068.0500', '5. volume': '50991'}"
2021-03-24,,"{'1. open': '3125.0000', '2. high': '3151.7000', '3. low': '3111.5000', '4. close': '3120.9500', '5. volume': '49838'}"
2021-03-23,,"{'1. open': '3139.7500', '2. high': '3168.5000', '3. low': '3124.0000', '4. close': '3142.0500', '5. volume': '64888'}"
2021-03-22,,"{'1. open': '3060.0000', '2. high': '3139.0000', '3. low': '3018.0500', '4. close': '3129.6001', '5. volume': '136270'}"
2021-03-19,,"{'1. open': '3032.0000', '2. high': '3098.0000', '3. low': '3004.4500', '4. close': '3063.2500', '5. volume': '202074'}"
2021-03-18,,"{'1. open': '3122.0000', '2. high': '3145.0000', '3. low': '2986.3000', '4. close': '3036.8000', '5. volume': '94103'}"
2021-03-17,,"{'1. open': '3108.0000', '2. high': '3156.7500', '3. low': '3086.0000', '4. close': '3112.7000', '5. volume': '263394'}"
2021-03-16,,"{'1. open': '3064.8501', '2. high': '3139.8999', '3. low': '3063.0000', '4. close': '3108.7000', '5. volume': '294600'}"
2021-03-15,,"{'1. open': '3054.0000', '2. high': '3098.8999', '3. low': '3043.0000', '4. close': '3066.3501', '5. volume': '53492'}"
2021-03-12,,"{'1. open': '3075.0000', '2. high': '3115.6499', '3. low': '3042.0500', '4. close': '3056.8999', '5. volume': '133299'}"
2021-03-10,,"{'1. open': '3080.2000', '2. high': '3092.0000', '3. low': '3060.1001', '4. close': '3071.9500', '5. volume': '83120'}"
2021-03-09,,"{'1. open': '3008.0500', '2. high': '3066.8999', '3. low': '2993.0000', '4. close': '3049.9500', '5. volume': '85833'}"
2021-03-08,,"{'1. open': '3039.0000', '2. high': '3039.0000', '3. low': '2996.0000', '4. close': '3007.2000', '5. volume': '39194'}"
2021-03-05,,"{'1. open': '3020.0000', '2. high': '3063.4500', '3. low': '2997.3501', '4. close': '3007.0000', '5. volume': '63785'}"
2021-03-04,,"{'1. open': '3030.0000', '2. high': '3081.5500', '3. low': '3019.8999', '4. close': '3047.7000', '5. volume': '371283'}"
2021-03-03,,"{'1. open': '3030.0000', '2. high': '3063.4500', '3. low': '2996.5000', '4. close': '3058.6499', '5. volume': '206125'}"
2021-03-02,,"{'1. open': '2970.0000', '2. high': '3025.3999', '3. low': '2946.1499', '4. close': '3010.5500', '5. volume': '168724'}"
2021-03-01,,"{'1. open': '2930.0000', '2. high': '2964.9500', '3. low': '2900.0000', '4. close': '2926.2000', '5. volume': '210795'}"
2021-02-26,,"{'1. open': '2968.5000', '2. high': '2971.8999', '3. low': '2881.3501', '4. close': '2896.0500', '5. volume': '202274'}"
2021-02-25,,"{'1. open': '2980.0000', '2. high': '3029.4500', '3. low': '2969.1001', '4. close': '2992.8999', '5. volume': '497914'}"
2021-02-24,,"{'1. open': '2980.2000', '2. high': '3002.2500', '3. low': '2701.0000', '4. close': '2951.3999', '5. volume': '720041'}"
2021-02-23,,"{'1. open': '2971.6001', '2. high': '3027.8999', '3. low': '2970.0000', '4. close': '2980.0000', '5. volume': '140264'}"
2021-02-22,,"{'1. open': '3090.0000', '2. high': '3090.0000', '3. low': '2945.5000', '4. close': '2958.7500', '5. volume': '233886'}"
2021-02-19,,"{'1. open': '3057.5500', '2. high': '3085.8501', '3. low': '3017.5500', '4. close': '3072.1001', '5. volume': '129152'}"
2021-02-18,,"{'1. open': '3073.0000', '2. high': '3098.7500', '3. low': '3032.0000', '4. close': '3057.5500', '5. volume': '175502'}"
2021-02-17,,"{'1. open': '3109.0000', '2. high': '3131.9500', '3. low': '3047.0000', '4. close': '3073.5000', '5. volume': '140215'}"
2021-02-16,,"{'1. open': '3158.8999', '2. high': '3166.2500', '3. low': '3100.2500', '4. close': '3109.3000', '5. volume': '136791'}"
2021-02-15,,"{'1. open': '3206.0000', '2. high': '3206.0000', '3. low': '3131.0000', '4. close': '3139.9500', '5. volume': '104489'}"
2021-02-12,,"{'1. open': '3197.0000', '2. high': '3245.8000', '3. low': '3183.3999', '4. close': '3191.1499', '5. volume': '64320'}"
2021-02-11,,"{'1. open': '3223.0000', '2. high': '3223.0000', '3. low': '3186.0000', '4. close': '3205.8501', '5. volume': '38475'}"
2021-02-10,,"{'1. open': '3177.0000', '2. high': '3219.3000', '3. low': '3158.9500', '4. close': '3210.9500', '5. volume': '61444'}"
2021-02-09,,"{'1. open': '3200.0000', '2. high': '3245.1499', '3. low': '3165.0500', '4. close': '3175.8000', '5. volume': '123700'}"
2021-02-08,,"{'1. open': '3185.2000', '2. high': '3224.9500', '3. low': '3155.5000', '4. close': '3215.1499', '5. volume': '132081'}"
2021-02-05,,"{'1. open': '3191.1001', '2. high': '3200.0000', '3. low': '3129.5000', '4. close': '3158.0500', '5. volume': '69573'}"
2021-02-04,,"{'1. open': '3206.0000', '2. high': '3233.9500', '3. low': '3177.0000', '4. close': '3187.3000', '5. volume': '434127'}"
2021-02-03,,"{'1. open': '3207.0000', '2. high': '3235.1499', '3. low': '3164.6001', '4. close': '3199.1001', '5. volume': '101798'}"
2021-02-02,,"{'1. open': '3161.0000', '2. high': '3224.5500', '3. low': '3154.5000', '4. close': '3203.0000', '5. volume': '115905'}"
2021-02-01,,"{'1. open': '3104.0000', '2. high': '3165.0000', '3. low': '3045.1001', '4. close': '3140.7000', '5. volume': '158508'}"
2021-01-29,,"{'1. open': '3206.0000', '2. high': '3215.0000', '3. low': '3100.5000', '4. close': '3112.8999', '5. volume': '96018'}"
2021-01-28,,"{'1. open': '3240.0000', '2. high': '3272.7000', '3. low': '3183.9500', '4. close': '3199.4500', '5. volume': '555279'}"
2021-01-27,,"{'1. open': '3300.0000', '2. high': '3305.3000', '3. low': '3227.1499', '4. close': '3261.0500', '5. volume': '586936'}"
2021-01-25,,"{'1. open': '3295.0000', '2. high': '3345.2500', '3. low': '3277.7000', '4. close': '3290.2000', '5. volume': '107916'}"
2021-01-22,,"{'1. open': '3249.1001', '2. high': '3323.8999', '3. low': '3249.0500', '4. close': '3303.3999', '5. volume': '316515'}"
2021-01-21,,"{'1. open': '3308.0000', '2. high': '3310.0000', '3. low': '3262.0000', '4. close': '3274.8000', '5. volume': '85349'}"
2021-01-20,,"{'1. open': '3265.0000', '2. high': '3327.0000', '3. low': '3265.0000', '4. close': '3308.2000', '5. volume': '1574806'}"
2021-01-19,,"{'1. open': '3229.0000', '2. high': '3279.0000', '3. low': '3229.0000', '4. close': '3265.1499', '5. volume': '94206'}"
2021-01-18,,"{'1. open': '3249.0000', '2. high': '3255.5000', '3. low': '3186.6001', '4. close': '3220.8000', '5. volume': '167704'}"
2021-01-15,,"{'1. open': '3244.3501', '2. high': '3273.8501', '3. low': '3210.1001', '4. close': '3233.6001', '5. volume': '162323'}"
2021-01-14,,"{'1. open': '3164.0000', '2. high': '3267.0000', '3. low': '3120.0000', '4. close': '3250.1499', '5. volume': '531550'}"
2021-01-13,,"{'1. open': '3179.9500', '2. high': '3179.9500', '3. low': '3127.1001', '4. close': '3158.8000', '5. volume': '653157'}"
2021-01-12,,"{'1. open': '3179.9500', '2. high': '3208.1001', '3. low': '3150.9500', '4. close': '3172.8501', '5. volume': '132445'}"
2021-01-11,,"{'1. open': '3215.0000', '2. high': '3224.0000', '3. low': '3147.4500', '4. close': '3175.0500', '5. volume': '253600'}"
2021-01-08,,"{'1. open': '3085.2000', '2. high': '3127.5500', '3. low': '3061.8000', '4. close': '3120.3501', '5. volume': '210057'}"
2021-01-07,,"{'1. open': '3075.0000', '2. high': '3079.8000', '3. low': '3001.0000', '4. close': '3032.7000', '5. volume': '160557'}"
2021-01-06,,"{'1. open': '3102.1499', '2. high': '3114.4500', '3. low': '3037.8000', '4. close': '3052.9500', '5. volume': '118089'}"
2021-01-05,,"{'1. open': '3044.1001', '2. high': '3112.7500', '3. low': '3040.0000', '4. close': '3092.3000', '5. volume': '188379'}"
2021-01-04,,"{'1. open': '2950.0000', '2. high': '3050.0000', '3. low': '2942.0000', '4. close': '3039.2500', '5. volume': '208783'}"
2021-01-01,,"{'1. open': '2879.0000', '2. high': '2939.8999', '3. low': '2877.3000', '4. close': '2928.2000', '5. volume': '152353'}"
2020-12-31,,"{'1. open': '2902.0000', '2. high': '2906.0500', '3. low': '2845.0000', '4. close': '2870.2000', '5. volume': '834286'}"
2020-12-30,,"{'1. open': '2937.0000', '2. high': '2947.0000', '3. low': '2904.0000', '4. close': '2908.8501', '5. volume': '175469'}"
2020-12-29,,"{'1. open': '2928.2500', '2. high': '2951.8999', '3. low': '2924.2000', '4. close': '2930.6499', '5. volume': '47486'}"
2020-12-28,,"{'1. open': '2912.8501', '2. high': '2949.8999', '3. low': '2902.3000', '4. close': '2928.2500', '5. volume': '80008'}"
2020-12-24,,"{'1. open': '2914.8501', '2. high': '2921.9500', '3. low': '2884.0000', '4. close': '2908.4500', '5. volume': '63577'}"
2020-12-23,,"{'1. open': '2889.0000', '2. high': '2918.0000', '3. low': '2866.0500', '4. close': '2907.2000', '5. volume': '84950'}"
2020-12-22,,"{'1. open': '2830.0000', '2. high': '2883.1001', '3. low': '2819.0000', '4. close': '2870.8000', '5. volume': '90096'}"
2020-12-21,,"{'1. open': '2865.0000', '2. high': '2888.5500', '3. low': '2782.8999', '4. close': '2818.7500', '5. volume': '181011'}"
2020-12-18,,"{'1. open': '2861.0000', '2. high': '2898.0000', '3. low': '2847.0000', '4. close': '2862.6001', '5. volume': '155614'}"
2020-12-17,,"{'1. open': '2813.9500', '2. high': '2849.0000', '3. low': '2805.5500', '4. close': '2837.8999', '5. volume': '74645'}"
2020-12-16,,"{'1. open': '2775.0000', '2. high': '2819.7500', '3. low': '2761.2000', '4. close': '2813.2500', '5. volume': '71532'}"
2020-12-15,,"{'1. open': '2790.0000', '2. high': '2795.0000', '3. low': '2756.0000', '4. close': '2761.2000', '5. volume': '108436'}"
2020-12-14,,"{'1. open': '2800.1001', '2. high': '2806.2000', '3. low': '2757.0000', '4. close': '2796.5000', '5. volume': '57915'}"
2020-12-11,,"{'1. open': '2795.0000', '2. high': '2807.0000', '3. low': '2765.0000', '4. close': '2783.4500', '5. volume': '55137'}"
2020-12-10,,"{'1. open': '2820.0000', '2. high': '2824.6499', '3. low': '2780.1499', '4. close': '2784.1499', '5. volume': '50596'}"
2020-12-09,,"{'1. open': '2818.0000', '2. high': '2840.0000', '3. low': '2793.8501', '4. close': '2809.8000', '5. volume': '108846'}"
2020-12-08,,"{'1. open': '2745.0000', '2. high': '2804.8501', '3. low': '2733.0000', '4. close': '2796.3999', '5. volume': '97986'}"
2020-12-07,,"{'1. open': '2719.0000', '2. high': '2743.0000', '3. low': '2706.3000', '4. close': '2736.0000', '5. volume': '44595'}"
2020-12-04,,"{'1. open': '2706.0000', '2. high': '2738.0500', '3. low': '2700.0000', '4. close': '2726.0000', '5. volume': '67094'}"
2020-12-03,,"{'1. open': '2768.5500', '2. high': '2768.8000', '3. low': '2702.3000', '4. close': '2708.4500', '5. volume': '392788'}"
2020-12-02,,"{'1. open': '2720.0000', '2. high': '2753.7000', '3. low': '2702.2500', '4. close': '2749.1499', '5. volume': '103473'}"
2020-12-01,,"{'1. open': '2680.0000', '2. high': '2735.0000', '3. low': '2625.1001', '4. close': '2726.9500', '5. volume': '90136'}"
2020-11-27,,"{'1. open': '2700.0000', '2. high': '2717.9500', '3. low': '2670.0000', '4. close': '2679.1499', '5. volume': '110671'}"
2020-11-26,,"{'1. open': '2686.6499', '2. high': '2729.9500', '3. low': '2681.0000', '4. close': '2720.8501', '5. volume': '60434'}"
2020-11-25,,"{'1. open': '2727.0000', '2. high': '2730.0000', '3. low': '2688.3999', '4. close': '2700.7000', '5. volume': '198420'}"
2020-11-24,,"{'1. open': '2738.0000', '2. high': '2743.0000', '3. low': '2705.0000', '4. close': '2722.1001', '5. volume': '103065'}"
2020-11-23,,"{'1. open': '2685.0000', '2. high': '2730.0000', '3. low': '2666.0000', '4. close': '2724.0000', '5. volume': '129100'}"
2020-11-20,,"{'1. open': '2655.0000', '2. high': '2675.0000', '3. low': '2628.2500', '4. close': '2659.6001', '5. volume': '146090'}"
2020-11-19,,"{'1. open': '2630.0000', '2. high': '2678.6001', '3. low': '2630.0000', '4. close': '2637.0500', '5. volume': '114908'}"
2020-11-18,,"{'1. open': '2665.0000', '2. high': '2665.0000', '3. low': '2608.0500', '4. close': '2625.8999', '5. volume': '139122'}"
2020-11-17,,"{'1. open': '2685.0000', '2. high': '2690.0000', '3. low': '2650.3501', '4. close': '2666.2000', '5. volume': '87495'}"
2020-11-14,,"{'1. open': '2680.0000', '2. high': '2680.0000', '3. low': '2660.0500', '4. close': '2670.7000', '5. volume': '23415'}"
2020-11-13,,"{'1. open': '2656.0000', '2. high': '2663.9500', '3. low': '2636.4500', '4. close': '2657.3000', '5. volume': '436036'}"
2020-11-12,,"{'1. open': '2687.0000', '2. high': '2711.6499', '3. low': '2662.5500', '4. close': '2670.7000', '5. volume': '75051'}"
2020-11-11,,"{'1. open': '2645.3000', '2. high': '2691.8501', '3. low': '2644.2500', '4. close': '2688.5500', '5. volume': '179045'}"
2020-11-10,,"{'1. open': '2725.0000', '2. high': '2725.0000', '3. low': '2640.0000', '4. close': '2649.9500', '5. volume': '182867'}"
2020-11-09,,"{'1. open': '2738.2500', '2. high': '2743.8000', '3. low': '2695.0500', '4. close': '2725.8999', '5. volume': '124207'}"
2020-11-06,,"{'1. open': '2695.0000', '2. high': '2713.3501', '3. low': '2681.7000', '4. close': '2708.2500', '5. volume': '86947'}"
2020-11-05,,"{'1. open': '2681.0000', '2. high': '2709.7500', '3. low': '2667.3999', '4. close': '2687.2500', '5. volume': '114531'}"
2020-11-04,,"{'1. open': '2625.0000', '2. high': '2720.4500', '3. low': '2615.0000', '4. close': '2653.2500', '5. volume': '129239'}"
2020-11-03,,"{'1. open': '2604.7000', '2. high': '2664.7500', '3. low': '2602.0000', '4. close': '2632.6499', '5. volume': '66138'}"
2020-11-02,,"{'1. open': '2665.0000', '2. high': '2665.0000', '3. low': '2600.0000', '4. close': '2603.8501', '5. volume': '106105'}"
2020-10-30,,"{'1. open': '2639.0000', '2. high': '2673.9500', '3. low': '2621.6499', '4. close': '2664.8501', '5. volume': '77960'}"
2020-10-29,,"{'1. open': '2605.0000', '2. high': '2654.4500', '3. low': '2601.0000', '4. close': '2633.7000', '5. volume': '86748'}"
2020-10-28,,"{'1. open': '2653.0000', '2. high': '2656.3501', '3. low': '2607.2000', '4. close': '2621.7500', '5. volume': '471923'}"
2020-10-27,,"{'1. open': '2696.8501', '2. high': '2717.0000', '3. low': '2625.0000', '4. close': '2631.4500', '5. volume': '86794'}"
2020-10-26,,"{'1. open': '2695.0000', '2. high': '2709.8000', '3. low': '2671.7000', '4. close': '2687.6499', '5. volume': '72725'}"
2020-10-23,,"{'1. open': '2684.0000', '2. high': '2706.0500', '3. low': '2670.5500', '4. close': '2686.4500', '5. volume': '69850'}"
2020-10-22,,"{'1. open': '2666.8000', '2. high': '2687.2500', '3. low': '2638.5500', '4. close': '2670.8000', '5. volume': '151372'}"
2020-10-21,,"{'1. open': '2739.0000', '2. high': '2749.6001', '3. low': '2663.1001', '4. close': '2675.4500', '5. volume': '109319'}"
2020-10-20,,"{'1. open': '2722.0000', '2. high': '2760.0000', '3. low': '2720.0000', '4. close': '2738.3999', '5. volume': '56441'}"
2020-10-19,,"{'1. open': '2777.0000', '2. high': '2777.0000', '3. low': '2706.6001', '4. close': '2711.4500', '5. volume': '90310'}"
2020-10-16,,"{'1. open': '2751.0000', '2. high': '2771.2000', '3. low': '2733.4500', '4. close': '2762.5000', '5. volume': '64823'}"
2020-10-15,,"{'1. open': '2810.1001', '2. high': '2827.0000', '3. low': '2727.0000', '4. close': '2738.7000', '5. volume': '589029'}"
2020-10-14,,"{'1. open': '2840.1499', '2. high': '2840.1499', '3. low': '2788.9500', '4. close': '2809.8000', '5. volume': '86667'}"
2020-10-13,,"{'1. open': '2845.0000', '2. high': '2855.0000', '3. low': '2813.2500', '4. close': '2825.6499', '5. volume': '149828'}"
2020-10-12,,"{'1. open': '2818.8999', '2. high': '2853.6499', '3. low': '2802.0000', '4. close': '2831.2000', '5. volume': '191337'}"
2020-10-09,,"{'1. open': '2823.0000', '2. high': '2828.7500', '3. low': '2781.0000', '4. close': '2814.9500', '5. volume': '186388'}"
2020-10-08,,"{'1. open': '2825.0000', '2. high': '2885.0000', '3. low': '2800.0000', '4. close': '2824.8000', '5. volume': '692625'}"
2020-10-07,,"{'1. open': '2738.0000', '2. high': '2769.0000', '3. low': '2703.0000', '4. close': '2737.3999', '5. volume': '277896'}"
2020-10-06,,"{'1. open': '2736.0000', '2. high': '2736.0000', '3. low': '2649.3501', '4. close': '2716.1499', '5. volume': '330035'}"
2020-10-05,,"{'1. open': '2610.0000', '2. high': '2727.0000', '3. low': '2604.0000', '4. close': '2706.8501', '5. volume': '473381'}"
2020-10-01,,"{'1. open': '2509.8000', '2. high': '2539.0000', '3. low': '2492.0000', '4. close': '2522.7500', '5. volume': '55334'}"
2020-09-30,,"{'1. open': '2495.0000', '2. high': '2505.0500', '3. low': '2459.2500', '4. close': '2491.5000', '5. volume': '438317'}"
2020-09-29,,"{'1. open': '2439.0000', '2. high': '2512.0000', '3. low': '2434.0000', '4. close': '2487.2500', '5. volume': '192086'}"
2020-09-28,,"{'1. open': '2435.0000', '2. high': '2442.8000', '3. low': '2365.8501', '4. close': '2425.3501', '5. volume': '158816'}"
2020-09-25,,"{'1. open': '2370.0000', '2. high': '2439.8000', '3. low': '2350.0500', '4. close': '2422.3000', '5. volume': '236610'}"
2020-09-24,,"{'1. open': '2450.0000', '2. high': '2450.0000', '3. low': '2302.5000', '4. close': '2331.5000', '5. volume': '189137'}"
2020-09-23,,"{'1. open': '2510.0000', '2. high': '2517.0000', '3. low': '2410.0000', '4. close': '2467.1499', '5. volume': '238132'}"
2020-09-22,,"{'1. open': '2484.8000', '2. high': '2554.0000', '3. low': '2458.4500', '4. close': '2523.5500', '5. volume': '264321'}"
2020-09-21,,"{'1. open': '2460.0000', '2. high': '2505.0000', '3. low': '2453.6001', '4. close': '2464.6001', '5. volume': '127699'}"
2020-09-18,,"{'1. open': '2480.0000', '2. high': '2501.0000', '3. low': '2435.7500', '4. close': '2450.7500', '5. volume': '57975'}"
2020-09-17,,"{'1. open': '2487.0000', '2. high': '2495.0000', '3. low': '2452.6001', '4. close': '2460.0500', '5. volume': '83371'}"
2020-09-16,,"{'1. open': '2490.0000', '2. high': '2507.1001', '3. low': '2478.5000', '4. close': '2502.6499', '5. volume': '100286'}"
2020-09-15,,"{'1. open': '2487.5000', '2. high': '2538.0000', '3. low': '2459.8999', '4. close': '2490.2500', '5. volume': '437465'}"
2020-09-14,,"{'1. open': '2377.0000', '2. high': '2504.2000', '3. low': '2377.0000', '4. close': '2492.3000', '5. volume': '191774'}"
2020-09-11,,"{'1. open': '2348.0000', '2. high': '2382.6499', '3. low': '2331.0000', '4. close': '2373.7000', '5. volume': '174945'}"
