,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,BHARTIARTL.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2024-08-09,,"{'1. open': '1474.6500', '2. high': '1482.1500', '3. low': '1458.0000', '4. close': '1463.9000', '5. volume': '253821'}"
2024-08-08,,"{'1. open': '1430.0000', '2. high': '1466.4500', '3. low': '1430.0000', '4. close': '1451.3500', '5. volume': '97547'}"
2024-08-07,,"{'1. open': '1450.0500', '2. high': '1454.3500', '3. low': '1422.3000', '4. close': '1441.7000', '5. volume': '207940'}"
2024-08-06,,"{'1. open': '1489.9000', '2. high': '1493.9500', '3. low': '1431.1000', '4. close': '1443.5500', '5. volume': '317538'}"
2024-08-05,,"{'1. open': '1463.9500', '2. high': '1486.5500', '3. low': '1451.2500', '4. close': '1466.0000', '5. volume': '83232'}"
2024-08-02,,"{'1. open': '1494.0000', '2. high': '1504.8500', '3. low': '1483.5000', '4. close': '1493.7500', '5. volume': '422407'}"
2024-08-01,,"{'1. open': '1490.9500', '2. high': '1511.0000', '3. low': '1488.8000', '4. close': '1505.4000', '5. volume': '105913'}"
2024-07-31,,"{'1. open': '1472.2000', '2. high': '1504.2000', '3. low': '1472.2000', '4. close': '1492.9000', '5. volume': '153345'}"
2024-07-30,,"{'1. open': '1489.3000', '2. high': '1489.3000', '3. low': '1464.1000', '4. close': '1471.0500', '5. volume': '119951'}"
2024-07-29,,"{'1. open': '1522.0500', '2. high': '1522.0500', '3. low': '1476.5500', '4. close': '1481.1000', '5. volume': '324131'}"
2024-07-26,,"{'1. open': '1450.0000', '2. high': '1520.0000', '3. low': '1449.5000', '4. close': '1514.7000', '5. volume': '512860'}"
2024-07-25,,"{'1. open': '1441.6500', '2. high': '1454.1000', '3. low': '1440.1000', '4. close': '1449.4000', '5. volume': '51242'}"
2024-07-24,,"{'1. open': '1465.0000', '2. high': '1475.5500', '3. low': '1437.0000', '4. close': '1455.5500', '5. volume': '38765'}"
2024-07-23,,"{'1. open': '1465.0500', '2. high': '1469.4000', '3. low': '1428.7000', '4. close': '1465.0000', '5. volume': '75051'}"
2024-07-22,,"{'1. open': '1450.0000', '2. high': '1471.5500', '3. low': '1450.0000', '4. close': '1464.6000', '5. volume': '59347'}"
2024-07-19,,"{'1. open': '1476.9000', '2. high': '1478.7000', '3. low': '1452.3500', '4. close': '1461.5000', '5. volume': '255822'}"
2024-07-18,,"{'1. open': '1466.3500', '2. high': '1486.3500', '3. low': '1459.0500', '4. close': '1483.2500', '5. volume': '105596'}"
2024-07-16,,"{'1. open': '1445.0000', '2. high': '1473.8000', '3. low': '1445.0000', '4. close': '1466.0000', '5. volume': '106471'}"
2024-07-15,,"{'1. open': '1430.4000', '2. high': '1440.0000', '3. low': '1426.7500', '4. close': '1437.2000', '5. volume': '47926'}"
2024-07-12,,"{'1. open': '1440.4500', '2. high': '1448.2000', '3. low': '1421.5500', '4. close': '1433.0000', '5. volume': '470398'}"
2024-07-11,,"{'1. open': '1450.0000', '2. high': '1450.7500', '3. low': '1427.9500', '4. close': '1439.0000', '5. volume': '83626'}"
2024-07-10,,"{'1. open': '1438.9000', '2. high': '1449.0000', '3. low': '1426.9500', '4. close': '1444.7000', '5. volume': '56217'}"
2024-07-09,,"{'1. open': '1440.6000', '2. high': '1441.7500', '3. low': '1428.3000', '4. close': '1435.1000', '5. volume': '153425'}"
2024-07-08,,"{'1. open': '1430.0500', '2. high': '1438.5000', '3. low': '1423.0500', '4. close': '1434.9000', '5. volume': '162232'}"
2024-07-05,,"{'1. open': '1423.3500', '2. high': '1433.3000', '3. low': '1416.6000', '4. close': '1430.0000', '5. volume': '544729'}"
2024-07-04,,"{'1. open': '1418.9500', '2. high': '1440.4000', '3. low': '1411.5500', '4. close': '1423.3500', '5. volume': '509157'}"
2024-07-03,,"{'1. open': '1429.6000', '2. high': '1432.5000', '3. low': '1410.0000', '4. close': '1420.3500', '5. volume': '556358'}"
2024-07-02,,"{'1. open': '1465.0500', '2. high': '1473.5000', '3. low': '1415.5000', '4. close': '1418.5500', '5. volume': '502005'}"
2024-07-01,,"{'1. open': '1450.0000', '2. high': '1467.4000', '3. low': '1449.3000', '4. close': '1453.2000', '5. volume': '478628'}"
2024-06-28,,"{'1. open': '1535.0000', '2. high': '1539.1000', '3. low': '1436.5000', '4. close': '1445.3500', '5. volume': '1564391'}"
2024-06-27,,"{'1. open': '1466.8500', '2. high': '1489.0000', '3. low': '1440.1000', '4. close': '1471.8000', '5. volume': '379730'}"
2024-06-26,,"{'1. open': '1419.0500', '2. high': '1479.5000', '3. low': '1410.4000', '4. close': '1458.5500', '5. volume': '544988'}"
2024-06-25,,"{'1. open': '1439.9500', '2. high': '1439.9500', '3. low': '1410.0500', '4. close': '1415.1000', '5. volume': '210793'}"
2024-06-24,,"{'1. open': '1404.0500', '2. high': '1423.1000', '3. low': '1397.4000', '4. close': '1419.2000', '5. volume': '362026'}"
2024-06-21,,"{'1. open': '1388.1000', '2. high': '1423.5500', '3. low': '1373.0500', '4. close': '1413.2500', '5. volume': '641954'}"
2024-06-20,,"{'1. open': '1403.0000', '2. high': '1406.3500', '3. low': '1376.0500', '4. close': '1381.1500', '5. volume': '438075'}"
2024-06-19,,"{'1. open': '1432.4500', '2. high': '1432.9000', '3. low': '1388.0500', '4. close': '1393.1500', '5. volume': '101821'}"
2024-06-18,,"{'1. open': '1439.1000', '2. high': '1442.0000', '3. low': '1418.0000', '4. close': '1428.7000', '5. volume': '95910'}"
2024-06-14,,"{'1. open': '1431.0500', '2. high': '1434.5000', '3. low': '1421.3000', '4. close': '1427.7500', '5. volume': '159238'}"
2024-06-13,,"{'1. open': '1441.5500', '2. high': '1450.0000', '3. low': '1420.4500', '4. close': '1425.3000', '5. volume': '92625'}"
2024-06-12,,"{'1. open': '1422.0000', '2. high': '1447.5000', '3. low': '1422.0000', '4. close': '1438.4500', '5. volume': '188107'}"
2024-06-11,,"{'1. open': '1429.6000', '2. high': '1434.4000', '3. low': '1413.0000', '4. close': '1427.5000', '5. volume': '65313'}"
2024-06-10,,"{'1. open': '1428.9500', '2. high': '1436.4500', '3. low': '1421.0500', '4. close': '1425.2000', '5. volume': '206919'}"
2024-06-07,,"{'1. open': '1371.7000', '2. high': '1431.2000', '3. low': '1363.0000', '4. close': '1425.8000', '5. volume': '709372'}"
2024-06-06,,"{'1. open': '1367.1000', '2. high': '1375.0500', '3. low': '1329.0000', '4. close': '1371.7500', '5. volume': '400275'}"
2024-06-05,,"{'1. open': '1332.7000', '2. high': '1348.3000', '3. low': '1279.7500', '4. close': '1344.4000', '5. volume': '243348'}"
2024-06-04,,"{'1. open': '1393.1000', '2. high': '1395.6500', '3. low': '1224.5000', '4. close': '1306.6000', '5. volume': '434816'}"
2024-06-03,,"{'1. open': '1405.0500', '2. high': '1420.0000', '3. low': '1385.0000', '4. close': '1393.9500', '5. volume': '152261'}"
2024-05-31,,"{'1. open': '1378.2500', '2. high': '1387.1000', '3. low': '1337.6000', '4. close': '1371.8500', '5. volume': '506750'}"
2024-05-30,,"{'1. open': '1383.9500', '2. high': '1386.1000', '3. low': '1363.2500', '4. close': '1377.4000', '5. volume': '59587'}"
2024-05-29,,"{'1. open': '1365.1000', '2. high': '1390.1000', '3. low': '1358.4500', '4. close': '1377.2000', '5. volume': '35809'}"
2024-05-28,,"{'1. open': '1389.0000', '2. high': '1389.0000', '3. low': '1367.6000', '4. close': '1370.5500', '5. volume': '20048'}"
2024-05-27,,"{'1. open': '1399.2000', '2. high': '1407.0500', '3. low': '1378.6500', '4. close': '1383.7000', '5. volume': '82614'}"
2024-05-24,,"{'1. open': '1377.0000', '2. high': '1398.0000', '3. low': '1375.0000', '4. close': '1388.6000', '5. volume': '258540'}"
2024-05-23,,"{'1. open': '1350.1500', '2. high': '1377.1500', '3. low': '1342.9500', '4. close': '1373.9500', '5. volume': '85040'}"
2024-05-22,,"{'1. open': '1343.4000', '2. high': '1351.1500', '3. low': '1329.4000', '4. close': '1347.5500', '5. volume': '102535'}"
2024-05-21,,"{'1. open': '1348.0500', '2. high': '1362.0000', '3. low': '1336.5000', '4. close': '1343.9000', '5. volume': '131472'}"
2024-05-17,,"{'1. open': '1354.1000', '2. high': '1360.0000', '3. low': '1339.9500', '4. close': '1344.1500', '5. volume': '301948'}"
2024-05-16,,"{'1. open': '1328.0000', '2. high': '1356.7500', '3. low': '1321.3500', '4. close': '1344.9000', '5. volume': '353409'}"
2024-05-15,,"{'1. open': '1280.0000', '2. high': '1317.5500', '3. low': '1280.0000', '4. close': '1311.7500', '5. volume': '179879'}"
2024-05-14,,"{'1. open': '1288.5500', '2. high': '1299.1000', '3. low': '1281.0000', '4. close': '1285.4000', '5. volume': '111671'}"
2024-05-13,,"{'1. open': '1296.5000', '2. high': '1302.0000', '3. low': '1281.2500', '4. close': '1286.5500', '5. volume': '58002'}"
2024-05-10,,"{'1. open': '1274.1000', '2. high': '1308.2000', '3. low': '1272.0000', '4. close': '1302.6000', '5. volume': '201241'}"
2024-05-09,,"{'1. open': '1287.0000', '2. high': '1294.8500', '3. low': '1269.8500', '4. close': '1275.6000', '5. volume': '64869'}"
2024-05-08,,"{'1. open': '1272.1500', '2. high': '1299.6500', '3. low': '1272.1500', '4. close': '1288.7000', '5. volume': '24742'}"
2024-05-07,,"{'1. open': '1285.0000', '2. high': '1294.1000', '3. low': '1271.0500', '4. close': '1284.8500', '5. volume': '33163'}"
2024-05-06,,"{'1. open': '1279.9500', '2. high': '1298.5000', '3. low': '1276.0000', '4. close': '1283.3500', '5. volume': '40436'}"
2024-05-03,,"{'1. open': '1309.5500', '2. high': '1309.5500', '3. low': '1258.2500', '4. close': '1276.7500', '5. volume': '238027'}"
2024-05-02,,"{'1. open': '1317.9500', '2. high': '1320.0500', '3. low': '1294.0000', '4. close': '1306.1500', '5. volume': '106885'}"
2024-04-30,,"{'1. open': '1326.3500', '2. high': '1334.5500', '3. low': '1320.0500', '4. close': '1322.8500', '5. volume': '128197'}"
2024-04-29,,"{'1. open': '1329.3500', '2. high': '1345.7500', '3. low': '1320.2500', '4. close': '1333.2500', '5. volume': '51102'}"
2024-04-26,,"{'1. open': '1338.0000', '2. high': '1344.3000', '3. low': '1321.5000', '4. close': '1325.5000', '5. volume': '134981'}"
2024-04-25,,"{'1. open': '1332.7000', '2. high': '1343.0000', '3. low': '1324.5000', '4. close': '1335.9500', '5. volume': '84600'}"
2024-04-24,,"{'1. open': '1364.0500', '2. high': '1364.0500', '3. low': '1333.8000', '4. close': '1336.2500', '5. volume': '111467'}"
2024-04-23,,"{'1. open': '1314.3500', '2. high': '1350.9000', '3. low': '1302.8000', '4. close': '1342.3000', '5. volume': '482182'}"
2024-04-22,,"{'1. open': '1301.1500', '2. high': '1305.9000', '3. low': '1288.5000', '4. close': '1298.4500', '5. volume': '129889'}"
2024-04-19,,"{'1. open': '1278.7000', '2. high': '1296.4500', '3. low': '1253.1500', '4. close': '1288.9000', '5. volume': '308645'}"
2024-04-18,,"{'1. open': '1218.6500', '2. high': '1281.4000', '3. low': '1215.7000', '4. close': '1267.2000', '5. volume': '436832'}"
2024-04-16,,"{'1. open': '1224.9500', '2. high': '1234.0000', '3. low': '1212.1000', '4. close': '1216.7000', '5. volume': '46540'}"
2024-04-15,,"{'1. open': '1201.3000', '2. high': '1234.5500', '3. low': '1201.3000', '4. close': '1225.0500', '5. volume': '34783'}"
2024-04-12,,"{'1. open': '1231.8500', '2. high': '1231.8500', '3. low': '1219.3500', '4. close': '1225.2000', '5. volume': '255730'}"
2024-04-10,,"{'1. open': '1215.8000', '2. high': '1230.5500', '3. low': '1210.7500', '4. close': '1229.3000', '5. volume': '49348'}"
2024-04-09,,"{'1. open': '1218.2500', '2. high': '1218.2500', '3. low': '1198.6500', '4. close': '1203.8500', '5. volume': '30337'}"
2024-04-08,,"{'1. open': '1191.0000', '2. high': '1210.1000', '3. low': '1183.6000', '4. close': '1204.1500', '5. volume': '79900'}"
2024-04-05,,"{'1. open': '1208.1000', '2. high': '1211.3000', '3. low': '1189.0000', '4. close': '1191.5500', '5. volume': '123054'}"
2024-04-04,,"{'1. open': '1234.9000', '2. high': '1234.9000', '3. low': '1201.9500', '4. close': '1206.9500', '5. volume': '29398'}"
2024-04-03,,"{'1. open': '1202.5500', '2. high': '1240.6000', '3. low': '1189.5000', '4. close': '1225.4000', '5. volume': '273855'}"
2024-04-02,,"{'1. open': '1222.0500', '2. high': '1225.4500', '3. low': '1203.5500', '4. close': '1208.4000', '5. volume': '88168'}"
2024-04-01,,"{'1. open': '1227.9500', '2. high': '1230.4500', '3. low': '1207.8000', '4. close': '1217.8000', '5. volume': '86752'}"
2024-03-28,,"{'1. open': '1238.6500', '2. high': '1238.6500', '3. low': '1220.3500', '4. close': '1229.0500', '5. volume': '92209'}"
2024-03-27,,"{'1. open': '1215.9500', '2. high': '1228.0000', '3. low': '1210.0500', '4. close': '1224.7000', '5. volume': '374066'}"
2024-03-26,,"{'1. open': '1232.7500', '2. high': '1233.4500', '3. low': '1211.1500', '4. close': '1216.0500', '5. volume': '250616'}"
2024-03-22,,"{'1. open': '1227.0000', '2. high': '1244.9500', '3. low': '1220.8000', '4. close': '1235.8000', '5. volume': '4235017'}"
2024-03-21,,"{'1. open': '1243.9500', '2. high': '1243.9500', '3. low': '1214.4500', '4. close': '1221.8000', '5. volume': '407138'}"
2024-03-20,,"{'1. open': '1227.8500', '2. high': '1239.0000', '3. low': '1223.8500', '4. close': '1232.0000', '5. volume': '415744'}"
2024-03-19,,"{'1. open': '1223.6000', '2. high': '1240.6500', '3. low': '1215.2500', '4. close': '1227.8500', '5. volume': '2169332'}"
