,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,BHARTIARTL.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2021-04-30,,"{'1. open': '535.5000', '2. high': '546.9000', '3. low': '533.3500', '4. close': '537.3000', '5. volume': '446114'}"
2021-04-29,,"{'1. open': '547.2000', '2. high': '549.9500', '3. low': '539.1500', '4. close': '541.4000', '5. volume': '241908'}"
2021-04-28,,"{'1. open': '536.0000', '2. high': '547.9500', '3. low': '536.0000', '4. close': '544.3000', '5. volume': '646751'}"
2021-04-27,,"{'1. open': '528.0000', '2. high': '538.4000', '3. low': '526.9500', '4. close': '534.4500', '5. volume': '215105'}"
2021-04-26,,"{'1. open': '527.5500', '2. high': '528.4000', '3. low': '523.9000', '4. close': '527.5500', '5. volume': '132230'}"
2021-04-23,,"{'1. open': '533.8000', '2. high': '533.8000', '3. low': '519.2000', '4. close': '521.8500', '5. volume': '164427'}"
2021-04-22,,"{'1. open': '530.0000', '2. high': '533.0000', '3. low': '525.4000', '4. close': '530.8500', '5. volume': '358767'}"
2021-04-20,,"{'1. open': '527.3500', '2. high': '537.1000', '3. low': '525.9000', '4. close': '530.1500', '5. volume': '164435'}"
2021-04-19,,"{'1. open': '536.0000', '2. high': '536.0000', '3. low': '523.3500', '4. close': '526.4500', '5. volume': '156228'}"
2021-04-16,,"{'1. open': '540.0000', '2. high': '544.3000', '3. low': '538.3000', '4. close': '540.5500', '5. volume': '928462'}"
2021-04-15,,"{'1. open': '539.5000', '2. high': '546.1500', '3. low': '530.5000', '4. close': '539.2000', '5. volume': '254434'}"
2021-04-13,,"{'1. open': '523.5000', '2. high': '538.4000', '3. low': '523.3000', '4. close': '536.0000', '5. volume': '163951'}"
2021-04-12,,"{'1. open': '535.0000', '2. high': '539.1500', '3. low': '518.7000', '4. close': '522.3500', '5. volume': '799589'}"
2021-04-09,,"{'1. open': '536.5000', '2. high': '549.3500', '3. low': '536.5000', '4. close': '545.3500', '5. volume': '335943'}"
2021-04-08,,"{'1. open': '548.8000', '2. high': '548.8000', '3. low': '540.5500', '4. close': '542.9500', '5. volume': '1463764'}"
2021-04-07,,"{'1. open': '538.9500', '2. high': '546.9000', '3. low': '535.1500', '4. close': '541.5000', '5. volume': '534003'}"
2021-04-06,,"{'1. open': '528.2000', '2. high': '537.5500', '3. low': '524.7500', '4. close': '532.1000', '5. volume': '314069'}"
2021-04-05,,"{'1. open': '520.0000', '2. high': '529.1000', '3. low': '514.5500', '4. close': '528.2000', '5. volume': '651193'}"
2021-04-01,,"{'1. open': '519.7500', '2. high': '523.9000', '3. low': '514.2500', '4. close': '520.9000', '5. volume': '458565'}"
2021-03-31,,"{'1. open': '521.4000', '2. high': '525.8000', '3. low': '516.0500', '4. close': '517.3000', '5. volume': '305734'}"
2021-03-30,,"{'1. open': '527.0000', '2. high': '527.9000', '3. low': '516.4000', '4. close': '521.4000', '5. volume': '237577'}"
2021-03-26,,"{'1. open': '512.9000', '2. high': '524.4000', '3. low': '510.6500', '4. close': '522.3000', '5. volume': '565934'}"
2021-03-25,,"{'1. open': '525.0000', '2. high': '525.0000', '3. low': '499.3500', '4. close': '508.0000', '5. volume': '460465'}"
2021-03-24,,"{'1. open': '527.4000', '2. high': '533.5000', '3. low': '521.5000', '4. close': '523.6000', '5. volume': '230109'}"
2021-03-23,,"{'1. open': '530.8000', '2. high': '532.4000', '3. low': '522.2500', '4. close': '529.2000', '5. volume': '344013'}"
2021-03-22,,"{'1. open': '533.3500', '2. high': '533.3500', '3. low': '523.0000', '4. close': '527.9000', '5. volume': '527516'}"
2021-03-19,,"{'1. open': '527.7000', '2. high': '534.5000', '3. low': '525.9000', '4. close': '530.2500', '5. volume': '520019'}"
2021-03-18,,"{'1. open': '528.4000', '2. high': '532.0000', '3. low': '515.1000', '4. close': '526.0000', '5. volume': '309682'}"
2021-03-17,,"{'1. open': '530.0000', '2. high': '531.0500', '3. low': '519.0000', '4. close': '522.8500', '5. volume': '397314'}"
2021-03-16,,"{'1. open': '524.0500', '2. high': '533.6500', '3. low': '524.0500', '4. close': '529.3000', '5. volume': '408920'}"
2021-03-15,,"{'1. open': '526.2000', '2. high': '527.7500', '3. low': '516.7000', '4. close': '522.7500', '5. volume': '293645'}"
2021-03-12,,"{'1. open': '528.5500', '2. high': '532.5000', '3. low': '521.5500', '4. close': '524.0500', '5. volume': '665689'}"
2021-03-10,,"{'1. open': '523.4000', '2. high': '530.2500', '3. low': '516.2000', '4. close': '525.9000', '5. volume': '457852'}"
2021-03-09,,"{'1. open': '532.0000', '2. high': '532.0000', '3. low': '514.4000', '4. close': '521.6500', '5. volume': '867811'}"
2021-03-08,,"{'1. open': '536.8500', '2. high': '536.8500', '3. low': '524.8000', '4. close': '525.7000', '5. volume': '437859'}"
2021-03-05,,"{'1. open': '535.0000', '2. high': '538.5000', '3. low': '524.8000', '4. close': '532.4000', '5. volume': '513383'}"
2021-03-04,,"{'1. open': '540.9000', '2. high': '545.9500', '3. low': '537.9000', '4. close': '539.4500', '5. volume': '1001284'}"
2021-03-03,,"{'1. open': '548.2500', '2. high': '550.5000', '3. low': '540.2500', '4. close': '546.2500', '5. volume': '2045471'}"
2021-03-02,,"{'1. open': '542.9500', '2. high': '543.9500', '3. low': '529.0500', '4. close': '541.2500', '5. volume': '1808603'}"
2021-03-01,,"{'1. open': '556.5500', '2. high': '559.5500', '3. low': '521.1000', '4. close': '532.3000', '5. volume': '2520775'}"
2021-02-26,,"{'1. open': '574.8500', '2. high': '585.8000', '3. low': '551.8000', '4. close': '557.1000', '5. volume': '1412362'}"
2021-02-25,,"{'1. open': '581.0000', '2. high': '584.4500', '3. low': '577.0000', '4. close': '579.1500', '5. volume': '1241118'}"
2021-02-24,,"{'1. open': '569.8000', '2. high': '581.4000', '3. low': '563.0000', '4. close': '573.0500', '5. volume': '1626616'}"
2021-02-23,,"{'1. open': '574.1000', '2. high': '577.0000', '3. low': '564.2500', '4. close': '565.5000', '5. volume': '597772'}"
2021-02-22,,"{'1. open': '581.0000', '2. high': '584.9000', '3. low': '568.2000', '4. close': '570.7000', '5. volume': '339276'}"
2021-02-19,,"{'1. open': '591.4000', '2. high': '595.9500', '3. low': '575.5500', '4. close': '580.9500', '5. volume': '372214'}"
2021-02-18,,"{'1. open': '596.0000', '2. high': '598.0000', '3. low': '585.1000', '4. close': '589.0000', '5. volume': '808815'}"
2021-02-17,,"{'1. open': '593.0000', '2. high': '598.8000', '3. low': '590.2000', '4. close': '594.0500', '5. volume': '1027379'}"
2021-02-16,,"{'1. open': '595.9000', '2. high': '601.5000', '3. low': '593.0000', '4. close': '594.0000', '5. volume': '909455'}"
2021-02-15,,"{'1. open': '594.0000', '2. high': '603.0000', '3. low': '590.0000', '4. close': '593.8000', '5. volume': '1084580'}"
2021-02-12,,"{'1. open': '598.0000', '2. high': '598.0000', '3. low': '584.7000', '4. close': '586.5500', '5. volume': '1186380'}"
2021-02-11,,"{'1. open': '593.1000', '2. high': '603.7000', '3. low': '588.6000', '4. close': '598.4000', '5. volume': '627735'}"
2021-02-10,,"{'1. open': '606.1000', '2. high': '606.1000', '3. low': '580.5000', '4. close': '590.1000', '5. volume': '915999'}"
2021-02-09,,"{'1. open': '598.0000', '2. high': '607.5000', '3. low': '595.0000', '4. close': '598.8000', '5. volume': '1232335'}"
2021-02-08,,"{'1. open': '586.0000', '2. high': '603.4500', '3. low': '584.8500', '4. close': '597.3500', '5. volume': '1379200'}"
2021-02-05,,"{'1. open': '604.9500', '2. high': '605.4000', '3. low': '576.3000', '4. close': '581.2500', '5. volume': '1205253'}"
2021-02-04,,"{'1. open': '618.2999', '2. high': '622.9999', '3. low': '595.9500', '4. close': '600.3500', '5. volume': '2410067'}"
2021-02-03,,"{'1. open': '609.0000', '2. high': '622.3999', '3. low': '599.5500', '4. close': '608.8000', '5. volume': '1414800'}"
2021-02-02,,"{'1. open': '582.7500', '2. high': '605.5000', '3. low': '579.4500', '4. close': '599.6500', '5. volume': '928717'}"
2021-02-01,,"{'1. open': '561.5000', '2. high': '581.3000', '3. low': '549.5500', '4. close': '579.1500', '5. volume': '433704'}"
2021-01-29,,"{'1. open': '575.3000', '2. high': '578.4500', '3. low': '550.7000', '4. close': '553.2000', '5. volume': '1225828'}"
2021-01-28,,"{'1. open': '562.1000', '2. high': '575.9500', '3. low': '562.1000', '4. close': '571.0000', '5. volume': '1086545'}"
2021-01-27,,"{'1. open': '577.0000', '2. high': '581.6000', '3. low': '562.3000', '4. close': '570.7500', '5. volume': '636938'}"
2021-01-25,,"{'1. open': '584.0000', '2. high': '585.5000', '3. low': '569.6000', '4. close': '581.4000', '5. volume': '436968'}"
2021-01-22,,"{'1. open': '586.0000', '2. high': '586.0000', '3. low': '572.9000', '4. close': '576.8500', '5. volume': '408766'}"
2021-01-21,,"{'1. open': '600.0000', '2. high': '604.1000', '3. low': '574.5500', '4. close': '580.9500', '5. volume': '776234'}"
2021-01-20,,"{'1. open': '592.4000', '2. high': '602.5000', '3. low': '589.1000', '4. close': '596.2000', '5. volume': '612030'}"
2021-01-19,,"{'1. open': '591.4000', '2. high': '597.4000', '3. low': '586.7000', '4. close': '592.5000', '5. volume': '251422'}"
2021-01-18,,"{'1. open': '603.0000', '2. high': '603.5000', '3. low': '584.1000', '4. close': '586.7000', '5. volume': '455989'}"
2021-01-15,,"{'1. open': '608.1500', '2. high': '610.0000', '3. low': '594.3000', '4. close': '602.5000', '5. volume': '1273191'}"
2021-01-14,,"{'1. open': '583.9000', '2. high': '584.5500', '3. low': '570.2000', '4. close': '580.2000', '5. volume': '1318047'}"
2021-01-13,,"{'1. open': '588.0000', '2. high': '601.8000', '3. low': '566.7000', '4. close': '578.2500', '5. volume': '3121955'}"
2021-01-12,,"{'1. open': '549.9000', '2. high': '569.4500', '3. low': '545.1000', '4. close': '565.7500', '5. volume': '714110'}"
2021-01-11,,"{'1. open': '542.8000', '2. high': '554.4000', '3. low': '541.6000', '4. close': '547.1000', '5. volume': '1151990'}"
2021-01-08,,"{'1. open': '548.0000', '2. high': '550.0000', '3. low': '537.1000', '4. close': '540.2500', '5. volume': '891044'}"
2021-01-07,,"{'1. open': '531.5500', '2. high': '554.4000', '3. low': '527.1500', '4. close': '545.3000', '5. volume': '2309713'}"
2021-01-06,,"{'1. open': '516.1500', '2. high': '531.7000', '3. low': '513.7500', '4. close': '525.6000', '5. volume': '1195203'}"
2021-01-05,,"{'1. open': '512.0000', '2. high': '516.8000', '3. low': '510.8000', '4. close': '513.9000', '5. volume': '498746'}"
2021-01-04,,"{'1. open': '516.6000', '2. high': '520.4000', '3. low': '511.7500', '4. close': '517.1500', '5. volume': '397819'}"
2021-01-01,,"{'1. open': '510.6000', '2. high': '516.2500', '3. low': '508.2500', '4. close': '515.1000', '5. volume': '268030'}"
2020-12-31,,"{'1. open': '515.9500', '2. high': '518.4500', '3. low': '506.6000', '4. close': '509.3000', '5. volume': '374108'}"
2020-12-30,,"{'1. open': '523.0000', '2. high': '523.0000', '3. low': '513.3500', '4. close': '515.9500', '5. volume': '462125'}"
2020-12-29,,"{'1. open': '521.9500', '2. high': '525.0000', '3. low': '515.1000', '4. close': '520.2500', '5. volume': '363024'}"
2020-12-28,,"{'1. open': '520.0000', '2. high': '526.9500', '3. low': '516.9000', '4. close': '521.5500', '5. volume': '361479'}"
2020-12-24,,"{'1. open': '519.0500', '2. high': '522.9500', '3. low': '510.3500', '4. close': '517.0500', '5. volume': '1356785'}"
2020-12-23,,"{'1. open': '501.5000', '2. high': '509.4000', '3. low': '498.5000', '4. close': '507.3500', '5. volume': '398448'}"
2020-12-22,,"{'1. open': '492.0000', '2. high': '505.0000', '3. low': '485.6000', '4. close': '500.2500', '5. volume': '1465476'}"
2020-12-21,,"{'1. open': '510.0000', '2. high': '511.2500', '3. low': '480.3500', '4. close': '490.1500', '5. volume': '617263'}"
2020-12-18,,"{'1. open': '514.9000', '2. high': '514.9000', '3. low': '505.3000', '4. close': '510.6000', '5. volume': '238990'}"
2020-12-17,,"{'1. open': '518.1000', '2. high': '522.6000', '3. low': '512.0000', '4. close': '514.9000', '5. volume': '488740'}"
2020-12-16,,"{'1. open': '504.4000', '2. high': '518.3500', '3. low': '502.0000', '4. close': '516.1000', '5. volume': '1131285'}"
2020-12-15,,"{'1. open': '507.8000', '2. high': '507.8000', '3. low': '498.0000', '4. close': '504.2500', '5. volume': '313471'}"
2020-12-14,,"{'1. open': '507.0500', '2. high': '511.8000', '3. low': '501.2000', '4. close': '502.9500', '5. volume': '364319'}"
2020-12-11,,"{'1. open': '508.0000', '2. high': '508.2500', '3. low': '497.1000', '4. close': '504.0500', '5. volume': '674507'}"
2020-12-10,,"{'1. open': '503.0000', '2. high': '508.7000', '3. low': '494.0000', '4. close': '505.2000', '5. volume': '444420'}"
2020-12-09,,"{'1. open': '504.5500', '2. high': '506.8500', '3. low': '499.1500', '4. close': '503.0000', '5. volume': '365348'}"
2020-12-08,,"{'1. open': '512.0000', '2. high': '516.2000', '3. low': '499.6500', '4. close': '503.4500', '5. volume': '598418'}"
2020-12-07,,"{'1. open': '497.0000', '2. high': '510.0000', '3. low': '495.4000', '4. close': '508.9500', '5. volume': '1287046'}"
2020-12-04,,"{'1. open': '486.3500', '2. high': '497.6000', '3. low': '483.3500', '4. close': '493.9000', '5. volume': '1689770'}"
2020-12-03,,"{'1. open': '486.0000', '2. high': '488.0000', '3. low': '474.2000', '4. close': '479.9500', '5. volume': '1377629'}"
2020-12-02,,"{'1. open': '483.9000', '2. high': '487.8500', '3. low': '474.0000', '4. close': '484.9000', '5. volume': '1163868'}"
2020-12-01,,"{'1. open': '464.2500', '2. high': '482.2000', '3. low': '460.5500', '4. close': '479.3500', '5. volume': '1215538'}"
2020-11-27,,"{'1. open': '469.7000', '2. high': '472.6500', '3. low': '462.1000', '4. close': '463.3000', '5. volume': '227798'}"
2020-11-26,,"{'1. open': '475.0000', '2. high': '475.0000', '3. low': '460.7500', '4. close': '468.3000', '5. volume': '281903'}"
2020-11-25,,"{'1. open': '476.9000', '2. high': '477.9000', '3. low': '458.8500', '4. close': '463.9500', '5. volume': '619242'}"
2020-11-24,,"{'1. open': '480.0000', '2. high': '481.3500', '3. low': '471.4500', '4. close': '474.1500', '5. volume': '247436'}"
2020-11-23,,"{'1. open': '487.8500', '2. high': '488.0000', '3. low': '475.1000', '4. close': '477.0500', '5. volume': '280087'}"
2020-11-20,,"{'1. open': '470.5000', '2. high': '485.5500', '3. low': '465.0500', '4. close': '483.5000', '5. volume': '756492'}"
2020-11-19,,"{'1. open': '476.0000', '2. high': '481.3000', '3. low': '467.1000', '4. close': '468.6000', '5. volume': '582482'}"
2020-11-18,,"{'1. open': '481.7000', '2. high': '484.8500', '3. low': '471.0000', '4. close': '478.5000', '5. volume': '548364'}"
2020-11-17,,"{'1. open': '490.0000', '2. high': '494.6500', '3. low': '481.5000', '4. close': '484.6000', '5. volume': '349822'}"
2020-11-13,,"{'1. open': '478.0000', '2. high': '478.0500', '3. low': '469.8500', '4. close': '475.8500', '5. volume': '985157'}"
2020-11-12,,"{'1. open': '477.0000', '2. high': '483.3000', '3. low': '475.1000', '4. close': '479.6500', '5. volume': '380444'}"
2020-11-11,,"{'1. open': '468.7000', '2. high': '481.1500', '3. low': '464.2000', '4. close': '478.3500', '5. volume': '955227'}"
2020-11-10,,"{'1. open': '474.9000', '2. high': '474.9000', '3. low': '465.0000', '4. close': '466.4000', '5. volume': '607314'}"
2020-11-09,,"{'1. open': '459.4000', '2. high': '474.7500', '3. low': '453.0000', '4. close': '471.9000', '5. volume': '512400'}"
2020-11-06,,"{'1. open': '459.0000', '2. high': '460.3500', '3. low': '448.8500', '4. close': '449.7500', '5. volume': '410723'}"
2020-11-05,,"{'1. open': '455.2500', '2. high': '461.9500', '3. low': '452.4500', '4. close': '457.4000', '5. volume': '186795'}"
2020-11-04,,"{'1. open': '454.0000', '2. high': '455.4500', '3. low': '447.2000', '4. close': '452.7000', '5. volume': '949145'}"
2020-11-03,,"{'1. open': '457.1000', '2. high': '460.0000', '3. low': '447.4000', '4. close': '454.5500', '5. volume': '794007'}"
2020-11-02,,"{'1. open': '434.9000', '2. high': '460.0000', '3. low': '434.6500', '4. close': '457.5500', '5. volume': '613710'}"
2020-10-30,,"{'1. open': '453.3000', '2. high': '453.3000', '3. low': '430.7000', '4. close': '433.6000', '5. volume': '1155983'}"
2020-10-29,,"{'1. open': '448.8000', '2. high': '456.9500', '3. low': '445.1000', '4. close': '450.8000', '5. volume': '492585'}"
2020-10-28,,"{'1. open': '446.4000', '2. high': '487.8000', '3. low': '443.2000', '4. close': '451.4500', '5. volume': '3979838'}"
2020-10-27,,"{'1. open': '434.5000', '2. high': '438.7000', '3. low': '427.5500', '4. close': '433.0000', '5. volume': '551098'}"
2020-10-26,,"{'1. open': '435.6000', '2. high': '439.4000', '3. low': '428.0500', '4. close': '434.0500', '5. volume': '324821'}"
2020-10-23,,"{'1. open': '433.0000', '2. high': '437.3000', '3. low': '427.3000', '4. close': '434.3500', '5. volume': '841759'}"
2020-10-22,,"{'1. open': '418.8500', '2. high': '432.0000', '3. low': '417.9500', '4. close': '430.6500', '5. volume': '2307398'}"
2020-10-21,,"{'1. open': '405.9000', '2. high': '420.5000', '3. low': '404.0000', '4. close': '419.0500', '5. volume': '506573'}"
2020-10-20,,"{'1. open': '397.3000', '2. high': '413.2000', '3. low': '397.0000', '4. close': '404.8500', '5. volume': '627076'}"
2020-10-19,,"{'1. open': '404.5500', '2. high': '404.5500', '3. low': '394.0500', '4. close': '397.2500', '5. volume': '391713'}"
2020-10-16,,"{'1. open': '403.4500', '2. high': '407.0500', '3. low': '398.4000', '4. close': '401.5500', '5. volume': '558312'}"
2020-10-15,,"{'1. open': '413.3500', '2. high': '415.4000', '3. low': '395.1000', '4. close': '399.1500', '5. volume': '2259168'}"
2020-10-14,,"{'1. open': '416.0000', '2. high': '419.4000', '3. low': '411.4000', '4. close': '413.3500', '5. volume': '516369'}"
2020-10-13,,"{'1. open': '420.0000', '2. high': '427.3500', '3. low': '413.2500', '4. close': '415.3500', '5. volume': '1130916'}"
2020-10-12,,"{'1. open': '431.1500', '2. high': '431.1500', '3. low': '412.0500', '4. close': '415.2500', '5. volume': '281077'}"
2020-10-09,,"{'1. open': '427.0000', '2. high': '434.9500', '3. low': '423.4500', '4. close': '425.1500', '5. volume': '840346'}"
2020-10-08,,"{'1. open': '426.0000', '2. high': '435.2500', '3. low': '419.2500', '4. close': '424.5000', '5. volume': '807466'}"
2020-10-07,,"{'1. open': '427.1000', '2. high': '431.6000', '3. low': '421.0000', '4. close': '422.5000', '5. volume': '520239'}"
2020-10-06,,"{'1. open': '428.0000', '2. high': '429.5000', '3. low': '423.2500', '4. close': '426.7500', '5. volume': '357998'}"
2020-10-05,,"{'1. open': '432.8500', '2. high': '437.5000', '3. low': '423.0000', '4. close': '424.3500', '5. volume': '723863'}"
2020-10-01,,"{'1. open': '427.9000', '2. high': '434.4500', '3. low': '424.1500', '4. close': '432.3500', '5. volume': '405004'}"
2020-09-30,,"{'1. open': '438.1000', '2. high': '440.3000', '3. low': '418.2500', '4. close': '420.9000', '5. volume': '1286328'}"
2020-09-29,,"{'1. open': '446.0000', '2. high': '446.0000', '3. low': '429.6000', '4. close': '435.4500', '5. volume': '443984'}"
2020-09-28,,"{'1. open': '446.0000', '2. high': '447.6000', '3. low': '434.0000', '4. close': '443.4000', '5. volume': '736447'}"
2020-09-25,,"{'1. open': '429.0000', '2. high': '444.9500', '3. low': '422.4000', '4. close': '439.7000', '5. volume': '838336'}"
2020-09-24,,"{'1. open': '426.6000', '2. high': '433.4500', '3. low': '414.9500', '4. close': '418.8500', '5. volume': '1444173'}"
2020-09-23,,"{'1. open': '470.0000', '2. high': '470.0000', '3. low': '423.9500', '4. close': '433.9000', '5. volume': '2602225'}"
2020-09-22,,"{'1. open': '467.6000', '2. high': '478.3500', '3. low': '460.6000', '4. close': '471.0500', '5. volume': '786535'}"
2020-09-21,,"{'1. open': '496.4000', '2. high': '496.4000', '3. low': '461.3500', '4. close': '467.8500', '5. volume': '1040566'}"
2020-09-18,,"{'1. open': '483.0000', '2. high': '497.8500', '3. low': '475.6000', '4. close': '496.7000', '5. volume': '1223361'}"
2020-09-17,,"{'1. open': '481.0000', '2. high': '485.0000', '3. low': '474.1000', '4. close': '478.8500', '5. volume': '302229'}"
2020-09-16,,"{'1. open': '487.7000', '2. high': '490.5000', '3. low': '480.4500', '4. close': '481.6500', '5. volume': '495165'}"
2020-09-15,,"{'1. open': '474.6500', '2. high': '487.5000', '3. low': '470.0500', '4. close': '485.7000', '5. volume': '1143057'}"
2020-09-14,,"{'1. open': '495.9000', '2. high': '498.0000', '3. low': '468.5000', '4. close': '474.6500', '5. volume': '1918064'}"
2020-09-11,,"{'1. open': '498.0000', '2. high': '502.5500', '3. low': '488.7500', '4. close': '491.6500', '5. volume': '674202'}"
2020-09-10,,"{'1. open': '508.8000', '2. high': '508.8000', '3. low': '491.3000', '4. close': '497.5500', '5. volume': '1114591'}"
2020-09-09,,"{'1. open': '494.4000', '2. high': '506.7000', '3. low': '491.5000', '4. close': '504.5000', '5. volume': '1034739'}"
2020-09-08,,"{'1. open': '516.8000', '2. high': '516.8000', '3. low': '494.0000', '4. close': '497.9000', '5. volume': '1063016'}"
2020-09-07,,"{'1. open': '526.3500', '2. high': '527.1000', '3. low': '510.2000', '4. close': '515.2000', '5. volume': '400754'}"
2020-09-04,,"{'1. open': '530.1000', '2. high': '537.3000', '3. low': '519.6000', '4. close': '523.1000', '5. volume': '663430'}"
2020-09-03,,"{'1. open': '550.8000', '2. high': '552.8000', '3. low': '535.7000', '4. close': '538.1500', '5. volume': '404000'}"
2020-09-02,,"{'1. open': '552.0000', '2. high': '558.9500', '3. low': '545.4000', '4. close': '550.4500', '5. volume': '1232402'}"
2020-09-01,,"{'1. open': '517.0000', '2. high': '555.0500', '3. low': '514.0500', '4. close': '546.7500', '5. volume': '3378729'}"
2020-08-31,,"{'1. open': '520.0000', '2. high': '522.0500', '3. low': '508.7500', '4. close': '513.9500', '5. volume': '1339320'}"
2020-08-28,,"{'1. open': '513.8000', '2. high': '529.5000', '3. low': '511.5500', '4. close': '523.5500', '5. volume': '592830'}"
2020-08-27,,"{'1. open': '514.8000', '2. high': '518.4000', '3. low': '508.8000', '4. close': '511.0000', '5. volume': '669162'}"
2020-08-26,,"{'1. open': '527.0000', '2. high': '527.0000', '3. low': '512.4500', '4. close': '514.5500', '5. volume': '715760'}"
2020-08-25,,"{'1. open': '533.0000', '2. high': '536.0000', '3. low': '526.0000', '4. close': '528.6000', '5. volume': '595806'}"
2020-08-24,,"{'1. open': '520.0000', '2. high': '532.3000', '3. low': '508.5000', '4. close': '527.2000', '5. volume': '604905'}"
2020-08-21,,"{'1. open': '529.0000', '2. high': '529.4000', '3. low': '517.6000', '4. close': '520.0000', '5. volume': '803677'}"
2020-08-20,,"{'1. open': '530.0500', '2. high': '533.5500', '3. low': '523.1000', '4. close': '525.5000', '5. volume': '1075418'}"
2020-08-19,,"{'1. open': '529.4000', '2. high': '539.8000', '3. low': '527.2000', '4. close': '536.1000', '5. volume': '1101156'}"
2020-08-18,,"{'1. open': '527.0000', '2. high': '528.9500', '3. low': '520.1000', '4. close': '526.8000', '5. volume': '545413'}"
2020-08-17,,"{'1. open': '533.0000', '2. high': '533.0000', '3. low': '518.1000', '4. close': '521.4000', '5. volume': '990036'}"
2020-08-14,,"{'1. open': '542.5500', '2. high': '542.5500', '3. low': '525.1000', '4. close': '528.9000', '5. volume': '990874'}"
2020-08-13,,"{'1. open': '537.9000', '2. high': '548.1500', '3. low': '523.9500', '4. close': '535.6500', '5. volume': '1306318'}"
2020-08-12,,"{'1. open': '551.2500', '2. high': '560.8000', '3. low': '545.6500', '4. close': '548.5500', '5. volume': '860913'}"
2020-08-11,,"{'1. open': '560.8000', '2. high': '560.8000', '3. low': '550.3000', '4. close': '551.2500', '5. volume': '533331'}"
2020-08-10,,"{'1. open': '562.5000', '2. high': '565.0500', '3. low': '555.0000', '4. close': '558.3500', '5. volume': '734507'}"
2020-08-07,,"{'1. open': '553.5000', '2. high': '563.0000', '3. low': '552.0000', '4. close': '560.6000', '5. volume': '303881'}"
2020-08-06,,"{'1. open': '562.5000', '2. high': '562.5000', '3. low': '553.0000', '4. close': '555.5000', '5. volume': '327786'}"
2020-08-05,,"{'1. open': '550.2000', '2. high': '560.3000', '3. low': '546.6000', '4. close': '558.8500', '5. volume': '350550'}"
2020-08-04,,"{'1. open': '548.0000', '2. high': '553.0500', '3. low': '545.0000', '4. close': '548.8000', '5. volume': '309303'}"
2020-08-03,,"{'1. open': '551.5500', '2. high': '556.0500', '3. low': '546.5000', '4. close': '547.2500', '5. volume': '313461'}"
2020-07-31,,"{'1. open': '551.1000', '2. high': '559.0000', '3. low': '546.4500', '4. close': '554.8500', '5. volume': '538017'}"
2020-07-30,,"{'1. open': '577.0000', '2. high': '579.0000', '3. low': '543.4000', '4. close': '552.8500', '5. volume': '1998298'}"
2020-07-29,,"{'1. open': '566.0000', '2. high': '569.1500', '3. low': '560.4500', '4. close': '566.3500', '5. volume': '740878'}"
2020-07-28,,"{'1. open': '560.8000', '2. high': '573.6000', '3. low': '555.0500', '4. close': '564.6500', '5. volume': '427936'}"
2020-07-27,,"{'1. open': '558.0000', '2. high': '563.5000', '3. low': '544.2500', '4. close': '559.3000', '5. volume': '603032'}"
2020-07-24,,"{'1. open': '565.0000', '2. high': '567.0500', '3. low': '555.4000', '4. close': '559.8000', '5. volume': '335935'}"
2020-07-23,,"{'1. open': '570.0000', '2. high': '575.6500', '3. low': '564.2500', '4. close': '567.1000', '5. volume': '887192'}"
2020-07-22,,"{'1. open': '568.0000', '2. high': '575.4500', '3. low': '563.0000', '4. close': '569.5000', '5. volume': '665420'}"
2020-07-21,,"{'1. open': '578.5000', '2. high': '583.8000', '3. low': '566.4500', '4. close': '567.7500', '5. volume': '464099'}"
2020-07-20,,"{'1. open': '569.0000', '2. high': '582.5500', '3. low': '567.5500', '4. close': '575.7500', '5. volume': '925773'}"
2020-07-17,,"{'1. open': '563.9500', '2. high': '573.8000', '3. low': '562.0500', '4. close': '567.3500', '5. volume': '474300'}"
2020-07-16,,"{'1. open': '565.0000', '2. high': '567.3500', '3. low': '553.5000', '4. close': '562.6000', '5. volume': '642398'}"
2020-07-15,,"{'1. open': '589.8000', '2. high': '589.8000', '3. low': '559.7000', '4. close': '564.1500', '5. volume': '664647'}"
2020-07-14,,"{'1. open': '586.0000', '2. high': '596.6000', '3. low': '578.7000', '4. close': '589.1000', '5. volume': '1131015'}"
2020-07-13,,"{'1. open': '575.0000', '2. high': '589.1000', '3. low': '570.0000', '4. close': '586.7500', '5. volume': '511722'}"
2020-07-10,,"{'1. open': '567.6500', '2. high': '578.8500', '3. low': '566.0000', '4. close': '574.7000', '5. volume': '3291119'}"
2020-07-09,,"{'1. open': '563.0000', '2. high': '570.2500', '3. low': '560.5000', '4. close': '568.8500', '5. volume': '260482'}"
2020-07-08,,"{'1. open': '572.9000', '2. high': '573.6000', '3. low': '559.3000', '4. close': '561.2500', '5. volume': '307478'}"
2020-07-07,,"{'1. open': '579.0000', '2. high': '582.5000', '3. low': '566.0000', '4. close': '567.1500', '5. volume': '319915'}"
2020-07-06,,"{'1. open': '588.9000', '2. high': '589.4000', '3. low': '574.9500', '4. close': '576.5000', '5. volume': '654901'}"
2020-07-03,,"{'1. open': '560.7500', '2. high': '582.9500', '3. low': '560.7500', '4. close': '581.1000', '5. volume': '1245414'}"
